geoId,dateRep,year_week,cases,deaths,countriesAndTerritories,countryterritoryCode,popData2019,continentExp
AL,1/12/2020,2020-12,557,12,Albania,ALB,2862427,Europe
AL,30/11/2020,2020-11,835,11,Albania,ALB,2862427,Europe
AL,29/11/2020,2020-11,545,16,Albania,ALB,2862427,Europe
AL,28/11/2020,2020-11,645,18,Albania,ALB,2862427,Europe
AL,27/11/2020,2020-11,656,10,Albania,ALB,2862427,Europe
AL,26/11/2020,2020-11,644,8,Albania,ALB,2862427,Europe
AL,25/11/2020,2020-11,744,19,Albania,ALB,2862427,Europe
AL,24/11/2020,2020-11,795,17,Albania,ALB,2862427,Europe
AL,23/11/2020,2020-11,565,14,Albania,ALB,2862427,Europe
AL,22/11/2020,2020-11,737,13,Albania,ALB,2862427,Europe
AL,21/11/2020,2020-11,836,15,Albania,ALB,2862427,Europe
AL,20/11/2020,2020-11,786,11,Albania,ALB,2862427,Europe
